dataset,image,status,path_image,path_gt,path_imagej,height,width,square,img_min,img_max,img_mean,gt_shape_matches_image,n_gt_instances,gt_fg_fraction,imagej_available,imagej_shape_matches,n_imagej_instances,md5_image,md5_gt,role,used_for_parameter_selection
nuclei,nuclei_figure_1,ok,data/nuclear_test_images/nuclei_figure_1/original_fig.png,data/nuclear_test_images/nuclei_figure_1/original_true_masks.png,data/nuclear_test_images/nuclei_figure_1/original_ImageJ_masks.tif,1128,962,False,105.0,255.0,169.1350743132658,True,330,0.22211409445452,True,True,481,f6ea712d48e67ec2d302c49863a56a72,fe4016f9b3f216758de78f967c9d2781,development,True
nuclei,nuclei_figure_2,ok,data/nuclear_test_images/nuclei_figure_2/original_fig.png,data/nuclear_test_images/nuclei_figure_2/original_true_masks.png,data/nuclear_test_images/nuclei_figure_2/original_ImageJ_masks.tif,250,374,False,94.0,255.0,125.4103422459893,True,77,0.09450267379679145,True,True,73,5ec2440aa91d19765c70bca73c680fe9,2e0b2b47ad3f7c955d33c06cf76ba17b,heldout_candidate,False
nuclei,nuclei_figure_3,ok,data/nuclear_test_images/nuclei_figure_3/original_fig.png,data/nuclear_test_images/nuclei_figure_3/original_true_masks.png,data/nuclear_test_images/nuclei_figure_3/original_ImageJ_masks.tif,492,510,False,36.0,185.0,58.399665231946436,True,251,0.22040490993145226,True,True,327,740afe5bc50144d347f00cf2ba20d473,4182ec124753794cb096f64c31cc2770,heldout_candidate,False
nuclei,nuclei_figure_4,ok,data/nuclear_test_images/nuclei_figure_4/original_fig.png,data/nuclear_test_images/nuclei_figure_4/original_true_masks.png,data/nuclear_test_images/nuclei_figure_4/original_ImageJ_masks.tif,608,960,False,0.0,255.0,64.17267509594298,True,254,0.09184998629385965,True,True,256,73a445deec4d55914aac9689b5e859de,d89a55f38c1312345e742ea1bb4fda22,heldout_candidate,False
nuclei,nuclei_figure_5,ok,data/nuclear_test_images/nuclei_figure_5/original_fig.png,data/nuclear_test_images/nuclei_figure_5/original_true_masks.png,data/nuclear_test_images/nuclei_figure_5/original_ImageJ_masks.tif,1024,1024,True,0.0,255.0,61.01512336730957,True,151,0.0858001708984375,True,True,185,6e3e459678853a3606a243be6f494c2b,08c89162447638c673ebf59eb4931508,heldout_candidate,False
whole_cell,whole_cell_figure_1,ok,data/whole_cell_test_images/whole_cell_figure_1/original_fig.jpg,data/whole_cell_test_images/whole_cell_figure_1/original_true_masks.png,data/whole_cell_test_images/whole_cell_figure_1/original_ImageJ_masks.tif,600,602,False,0.0,229.0,45.19576411960133,True,403,0.33356035437430787,True,True,410,ba6ff806c0e59fc961f7cc6ef366a48e,ebc7e1f5917a3b187f6ecc58d56d59c2,development,True
whole_cell,whole_cell_figure_2,ok,data/whole_cell_test_images/whole_cell_figure_2/original_fig.jpg,data/whole_cell_test_images/whole_cell_figure_2/original_true_masks.png,data/whole_cell_test_images/whole_cell_figure_2/original_ImageJ_masks.tif,800,800,True,7.0,255.0,37.9634109375,True,41,0.2560328125,True,True,151,af26c58be540d30db35119be2aa8aad8,aed154d649272d5d7f555bc27e7d3547,heldout_candidate,False
whole_cell,whole_cell_figure_3,ok,data/whole_cell_test_images/whole_cell_figure_3/original_fig.jpg,data/whole_cell_test_images/whole_cell_figure_3/original_true_masks.png,data/whole_cell_test_images/whole_cell_figure_3/original_ImageJ_masks.tif,600,602,False,0.0,231.0,39.79737264673311,True,417,0.3170487264673311,True,True,414,11a828f4914bce7ff12dc7510ef5d246,29486cd3d0097d4082bbb8451554c53c,heldout_candidate,False
whole_cell,whole_cell_figure_4,ok,data/whole_cell_test_images/whole_cell_figure_4/original_fig.jpg,data/whole_cell_test_images/whole_cell_figure_4/original_true_masks.png,data/whole_cell_test_images/whole_cell_figure_4/original_ImageJ_masks.tif,1000,1000,True,14.0,255.0,46.106556,True,73,0.200549,True,True,224,e6932a2298a4938ccd13e68101d96c1f,46655a6dfabae4ab95f8c209bcb2f607,heldout_candidate,False
whole_cell,whole_cell_figure_5,ok,data/whole_cell_test_images/whole_cell_figure_5/original_fig.jpg,data/whole_cell_test_images/whole_cell_figure_5/original_true_masks.png,data/whole_cell_test_images/whole_cell_figure_5/original_ImageJ_masks.tif,1000,1000,True,6.0,255.0,44.591745,True,89,0.379142,True,True,306,9714f4c58c27c5eb343c1db7a7803e79,315614ba56f72afa806229d05b0c8f00,heldout_candidate,False
